statement_id,Link,Publication Date,Entities,Annual Revenue,Industry Sectors,Countries
169,https://modernslaveryregister.gov.au/statements/169/,2020-12-22 16:46:32,['GEOFABRICS AUSTRALASIA PTY. LTD. (23 005 479 961)'],100-150M,['Other'],['Australia']
172,https://modernslaveryregister.gov.au/statements/172/,2020-11-26 17:49:46,['ASTELLAS PHARMA AUSTRALIA PTY LTD (81 147 915 482)'],100-150M,['Healthcare and pharmaceuticals'],['Australia']
179,https://modernslaveryregister.gov.au/statements/179/,2020-11-26 17:43:22,"['BUNNINGS GROUP LIMITED (26 008 672 179), KMART AUSTRALIA LIMITED (73 004 700 485), OFFICEWORKS LTD (36 004 763 526), WESFARMERS CHEMICALS, ENERGY & FERTILISERS LIMITED (48 008 797 402), Wesfarmers Industrial and Safety Pty Ltd (15 137 253 528)']",1BN+,['Other'],['Australia']
181,https://modernslaveryregister.gov.au/statements/181/,2020-11-26 17:45:26,"['GOODMAN FUNDS MANAGEMENT LIMITED (48 067 796 641), GOODMAN LIMITED (69 000 123 071), Goodman Logistics (HK) Limited']",1BN+,"['Financial, insurance and real estate activities']",['Australia']
193,https://modernslaveryregister.gov.au/statements/193/,2020-11-26 17:37:27,['AUSENCO LIMITED (31 114 541 114)'],400-450M,"['Mining, metals, chemicals and resources (including oil and gas)\nOther']",['Australia']
205,https://modernslaveryregister.gov.au/statements/205/,2020-11-27 08:49:59,['KONICA MINOLTA BUSINESS SOLUTIONS AUSTRALIA PTY LTD (50 001 065 096)'],250-300M,['Information technology and telecommunication'],['Australia']
212,https://modernslaveryregister.gov.au/statements/212/,2020-11-26 17:45:02,['COLES GROUP LIMITED (11 004 089 936)'],1BN+,"['Food and beverages, agriculture and fishing']",['Australia']
216,https://modernslaveryregister.gov.au/statements/216/,2020-11-26 17:50:21,"['FIRST SENTIER INVESTORS ASIA HOLDINGS LTD (54 054 571 701), FIRST SENTIER INVESTORS (AUSTRALIA) IM LTD (89 114 194 311), FIRST SENTIER INVESTORS (AUSTRALIA) INFRASTRUCTURE HOLDINGS LTD (20 085 313 926), FIRST SENTIER INVESTORS (AUSTRALIA) RE LTD (13 006 464 428), FIRST SENTIER INVESTORS (AUSTRALIA) SERVICES PTY LTD (73 624 305 595), FIRST SENTIER INVESTORS HOLDINGS PTY LTD (49 630 725 558), FIRST SENTIER INVESTORS REALINDEX PTY LTD (24 133 312 017), First State Investments (Hong Kong) Ltd']",1BN+,"['Financial, insurance and real estate activities']",['Australia']
218,https://modernslaveryregister.gov.au/statements/218/,2020-12-22 16:48:11,"['EnerMech Pty Limited (32 136 435 062), MINTEG PTY LTD (18 166 303 760)']",100-150M,"['Mining, metals, chemicals and resources (including oil and gas)\nConstruction, civil engineering and building products']",['Australia']
219,https://modernslaveryregister.gov.au/statements/219/,2020-11-26 17:39:16,"['DATACOM AUSTRALIA HOLDINGS PTY LIMITED (45 094 235 373), DATACOM CONNECT PTY LTD (16 103 112 303), DATACOM DATA CENTRES PTY LTD (58 110 978 179), Datacom New Zealand Limited (95 875 120 116), DATACOM SYSTEMS (AU) PTY LTD (39 135 427 075)']",500-600M,['Information technology and telecommunication\nOther'],"['Australia, New Zealand']"
224,https://modernslaveryregister.gov.au/statements/224/,2021-02-25 13:57:03,"['Macquarie Americas Holdings Pty Ltd (82 124 071 414), MACQUARIE ASSET MANAGEMENT HOLDINGS PTY LIMITED (84 134 474 712), MACQUARIE ASSET MANAGEMENT US HOLDINGS PTY LIMITED (72 637 679 102), MACQUARIE BANK LIMITED (46 008 583 542), Macquarie B.H. Pty Ltd (86 124 071 432), MACQUARIE CAPITAL (AUSTRALIA) LIMITED (79 123 199 548), MACQUARIE CORPORATE AND ASSET FINANCE LIMITED (49 006 198 910), MACQUARIE CORPORATE FINANCE HOLDINGS PTY LIMITED (96 008 606 862), MACQUARIE CORPORATE FINANCE LIMITED (71 008 595 426), MACQUARIE CORPORATE HOLDINGS PTY LIMITED (54 096 705 109), MACQUARIE CORPORATE INTERNATIONAL HOLDINGS PTY LIMITED (24 123 199 253), Macquarie EMG Holdings Pty Limited (27 127 185 719), Macquarie Energy Holdings Pty Ltd (46 122 300 592), MACQUARIE EQUITIES (US) HOLDINGS PTY. LIMITED (98 063 906 392), Macquarie Finance Holdings Limited (89 118 817 440), MACQUARIE FINANCIAL HOLDINGS PTY LIMITED (63 124 071 398), MACQUARIE FINANCIAL HOLDINGS (USA) LLC, MACQUARIE FUNDING HOLDINGS LLC, MACQUARIE FUNDS MANAGEMENT HOLDINGS PTY LIMITED (19 093 177 407), MACQUARIE GROUP LIMITED (94 122 169 279), MACQUARIE GROUP SERVICES AUSTRALIA PTY LTD (53 116 467 031), MACQUARIE GROUP (US) HOLDINGS NO.1 PTY LTD (61 124 071 389), MACQUARIE INFRASTRUCTURE AND REAL ASSETS HOLDINGS PTY LIMITED (95 082 018 399), MACQUARIE INFRASTRUCTURE FUNDS MANAGEMENT PTY LIMITED (54 074 311 390), Macquarie International Investments Pty Limited (28 108 590 996), MACQUARIE INVESTMENT HOLDINGS NO.2 PTY LIMITED (97 112 017 919), MACQUARIE INVESTMENT HOLDINGS PTY LIMITED (18 122 939 600), MACQUARIE INVESTMENT MANAGEMENT AUSTRALIA LIMITED (55 092 552 611), MACQUARIE INVESTMENT MANAGEMENT HOLDINGS PTY LIMITED (76 604 942 127), MACQUARIE INVESTMENT MANAGEMENT LTD (66 002 867 003), MACQUARIE LEASING NSW PTY LTD (67 002 675 032), MACQUARIE LEASING PTY LTD (38 002 674 982), MACQUARIE PRINCIPAL FINANCE PTY LIMITED (39 629 759 600), MACQUARIE SECURITIES (AUSTRALIA) LIMITED (58 002 832 126), MACQUARIE SECURITISATION LIMITED (16 003 297 336), MACQUARIE SERVICES (USA) LLC, MACQUARIE SPECIALISED ASSET MANAGEMENT LTD (71 087 382 965)']",1BN+,"['Financial, insurance and real estate activities']",['Australia']
225,https://modernslaveryregister.gov.au/statements/225/,2020-11-26 17:55:55,['Baillie Gifford Overseas Limited'],900M-1BN,['Other'],['United Kingdom']
228,https://modernslaveryregister.gov.au/statements/228/,2020-11-26 17:55:29,['QSR PTY LTD (63 089 163 682)'],150-200M,"['Food and beverages, agriculture and fishing']",['Australia']
230,https://modernslaveryregister.gov.au/statements/230/,2020-11-26 17:41:08,"['BORAL LIMITED (13 008 421 761), USG BORAL BUILDING PRODUCTS PTY LIMITED (84 004 231 976)']",1BN+,"['Construction, civil engineering and building products']",['Australia']
235,https://modernslaveryregister.gov.au/statements/235/,2020-11-26 17:41:00,['AUSTRALIAN VINTAGE LTD (78 052 179 932)'],250-300M,"['Food and beverages, agriculture and fishing']",['Australia']
238,https://modernslaveryregister.gov.au/statements/238/,2020-11-26 17:40:41,"['ADVISIAN PTY LTD (50 098 008 818), ENERGY RESOURCING AUSTRALIA PTY LIMITED (27 076 232 605), INTECSEA PTY LTD (18 008 961 260), WORLEY ECR PTY LTD (95 631 041 195), WORLEY ENGINEERING PTY LIMITED (19 008 876 284), WORLEY LIMITED (17 096 090 158), WORLEYPARSONS FINANCIAL SERVICES PTY LIMITED (34 099 425 831), WORLEY SERVICES PTY LIMITED (61 001 279 812)']",1BN+,"['Mining, metals, chemicals and resources (including oil and gas)\nConstruction, civil engineering and building products']",['Australia']
242,https://modernslaveryregister.gov.au/statements/242/,2020-12-03 15:52:39,['SUMITOMO AUSTRALIA PTY LTD (81 000 371 497)'],150-200M,['Other'],['Australia']
254,https://modernslaveryregister.gov.au/statements/254/,2020-11-26 17:46:14,['ARROTEX HOLDINGS PTY LTD (47 630 331 814)'],Unknown,['Healthcare and pharmaceuticals'],['Australia']
259,https://modernslaveryregister.gov.au/statements/259/,2020-11-26 17:50:43,['HP PPS AUSTRALIA PTY LTD (16 603 480 628)'],450-500M,['Information technology and telecommunication'],['United States of America']
261,https://modernslaveryregister.gov.au/statements/261/,2020-11-26 17:40:23,['ISPT Core Fund'],500-600M,"['Financial, insurance and real estate activities']",['Australia']
262,https://modernslaveryregister.gov.au/statements/262/,2020-11-26 17:40:15,['BIG BEN HOLDINGS PTY. LIMITED (63 008 434 562)'],450-500M,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
265,https://modernslaveryregister.gov.au/statements/265/,2020-11-26 17:36:08,['The Trustee for Edwards O Trust & Others (11 247 365 823)'],1BN+,"['Utilities: gas, water and electricity']",['Australia']
268,https://modernslaveryregister.gov.au/statements/268/,2020-11-26 17:32:42,['SIGMA HEALTHCARE LIMITED (15 088 417 403)'],Unknown,['Healthcare and pharmaceuticals'],['Australia']
272,https://modernslaveryregister.gov.au/statements/272/,2020-11-26 17:50:00,"['Ashurst Australia (75 304 286 095), Ashurst Australia Services Pty. Limited (45 001 687 618), Ashurst Business Services Limited, Ashurst LLP']",1BN+,"['Professional and administrative services and supplies, including legal, consulting and accounting services']","['Australia, United Kingdom']"
276,https://modernslaveryregister.gov.au/statements/276/,2021-03-19 13:56:06,['CRAWFORD & COMPANY (AUSTRALIA) PTY. LTD. (11 002 317 133)'],0-99M,"['Financial, insurance and real estate activities']",['Australia']
277,https://modernslaveryregister.gov.au/statements/277/,2020-11-26 17:43:12,"['AFFINITY HEALTH PTY LIMITED (53 106 722 347), AH Holdings Health Care Pty Limited (36 115 549 230), Alpha Healthcare Pty Limited (74 000 727 882), ALPHA WESTMEAD PRIVATE HOSPITAL PTY LIMITED (99 083 874 597), AME Hospitals Pty Limited, AME Properties Pty Limited, AUSTRALIAN HOSPITAL CARE (PINDARA) PTY. LTD. (51 005 288 095), AUSTRALIAN HOSPITAL CARE PTY LIMITED (67 072 273 931), AUSTRALIAN MEDICAL ENTERPRISES PTY LIMITED (88 053 639 160), BENCHMARK HEALTHCARE HOLDINGS PTY LIMITED (34 084 168 276), BENCHMARK HEALTHCARE PTY LTD (47 058 174 619), Benchmark - Peninsula Pty Limited, Benchmark - Surrey Pty Limited, C&P Hospitals Holdings Pty Limited (16 106 722 570), HCOA HOSPITAL HOLDINGS (AUSTRALIA) PTY LIMITED (84 079 097 528), HCOA OPERATIONS (AUSTRALIA) PTY LIMITED (85 083 035 661), HEALTH CARE CORPORATION PTY LTD (91 000 392 101), HOSPITAL CORPORATION AUSTRALIA PTY LTD (48 000 935 946), Joondalup Hospital Pty Limited (61 106 723 193), NORTH SHORE PRIVATE HOSPITAL PTY LIMITED (67 059 183 596), RAMSAY CENTAURI PTY LIMITED (77 096 070 156), RAMSAY HEALTH CARE AUSTRALIA PTY LIMITED (36 003 184 889), Ramsay Health Care Investments Pty Limited (44 078 881 473), RAMSAY HEALTH CARE LIMITED (57 001 288 768), THE BENCHMARK HOSPITAL GROUP PTY. LTD. (61 005 437 169), The Trustee for AME PROPERTY TRUST (36 529 022 683), The Trustee for AME TRUST (92 172 305 738), The Trustee for PENINSULA HOSPITAL UNIT TRUST (45 961 711 618)']",1BN+,['Healthcare and pharmaceuticals'],['Australia']
279,https://modernslaveryregister.gov.au/statements/279/,2020-11-27 08:53:31,['FUJITSU GENERAL (AUST.) PTY LIMITED (55 001 229 554)'],250-300M,"['Durable consumer goods, including electronics and appliances, home furnishings and other accessories']",['Japan']
285,https://modernslaveryregister.gov.au/statements/285/,2020-11-26 17:39:51,['LENOVO (AUSTRALIA & NEW ZEALAND) PTY LIMITED (70 112 394 411)'],800-900M,"['Durable consumer goods, including electronics and appliances, home furnishings and other accessories\nInformation technology and telecommunication']",['Hong Kong']
286,https://modernslaveryregister.gov.au/statements/286/,2020-11-26 17:51:37,"['EXCHANGE HOUSE SERVICES AUSTRALIA PTY LTD (75 091 861 835), HERBERT SMITH FREEHILLS (98 773 882 646)']",700-800M,"['Professional and administrative services and supplies, including legal, consulting and accounting services']",['Australia']
288,https://modernslaveryregister.gov.au/statements/288/,2020-11-26 17:43:54,"['TJX AUSTRALIA HOLDING COMPANY PTY LIMITED (58 605 889 843), TJX AUSTRALIA PTY LIMITED (73 000 171 764)']",700-800M,"['Fashion, textiles, apparel and luxury goods']",['Australia']
290,https://modernslaveryregister.gov.au/statements/290/,2020-11-27 09:04:00,['THE VICTORIAN INDEPENDENT SCHOOLS SUPERANNUATION FUND (37 024 873 660)'],150-200M,"['Financial, insurance and real estate activities']",['Australia']
291,https://modernslaveryregister.gov.au/statements/291/,2021-01-28 11:43:13,['SUMISHO COAL AUSTRALIA HOLDINGS PTY LTD (71 057 890 865)'],350-400M,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
293,https://modernslaveryregister.gov.au/statements/293/,2021-01-28 11:42:53,['SUMISHO COAL AUSTRALIA PTY LIMITED (30 061 524 249)'],150-200M,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
295,https://modernslaveryregister.gov.au/statements/295/,2020-11-26 17:51:53,['QUEENSLAND NITRATES PTY LTD (63 079 889 268)'],150-200M,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
296,https://modernslaveryregister.gov.au/statements/296/,2020-11-26 17:52:14,['VMWARE AUSTRALIA PTY LTD (77 122 677 089)'],Unknown,['Information technology and telecommunication'],['Australia']
302,https://modernslaveryregister.gov.au/statements/302/,2020-11-26 17:52:45,"['BUNDABERG BREWED DRINKS PTY LTD (40 009 781 953), BUNDABERG BREWED DRINKS PTY LTD (40 009 781 953)']",300-350M,"['Food and beverages, agriculture and fishing']",['Australia']
303,https://modernslaveryregister.gov.au/statements/303/,2020-11-26 17:52:52,['Bis Industries Holdings Limited'],450-500M,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
304,https://modernslaveryregister.gov.au/statements/304/,2020-11-26 17:56:46,['CHARTERED ACCOUNTANTS AUSTRALIA AND NEW ZEALAND (50 084 642 571)'],100-150M,"['Professional and administrative services and supplies, including legal, consulting and accounting services\nEducation and research']",['Australia']
305,https://modernslaveryregister.gov.au/statements/305/,2020-12-22 16:46:14,['LIEBHERR-AUSTRALIA PTY. LTD. (65 007 970 452)'],700-800M,"['Automotive, machinery and heavy electrical equipment']",['Switzerland']
306,https://modernslaveryregister.gov.au/statements/306/,2020-11-26 17:53:03,['BRP AUSTRALIA PTY LTD (64 097 370 100)'],Unknown,"['Automotive, machinery and heavy electrical equipment']",['Australia']
308,https://modernslaveryregister.gov.au/statements/308/,2020-11-26 17:36:34,['JOHNS LYNG GROUP LIMITED (86 620 466 248)'],450-500M,"['Construction, civil engineering and building products\nCleaning and security services']",['Australia']
314,https://modernslaveryregister.gov.au/statements/314/,2020-12-22 16:28:55,['TECH DATA ADVANCED SOLUTIONS (ANZ) LIMITED (77 107 656 833)'],200-250M,['Information technology and telecommunication'],['United States of America']
320,https://modernslaveryregister.gov.au/statements/320/,2020-11-26 17:53:30,"['PVH BRANDS AUSTRALIA PTY LIMITED (15 165 485 290), SUNSHINE A PTY LTD (86 631 684 770)']",Unknown,"['Fashion, textiles, apparel and luxury goods']",['United States of America']
321,https://modernslaveryregister.gov.au/statements/321/,2020-11-27 08:59:21,['ELECTRONICS BOUTIQUE AUSTRALIA PTY LIMITED (50 077 681 442)'],Unknown,['Other'],['Australia']
322,https://modernslaveryregister.gov.au/statements/322/,2020-11-26 17:53:45,['AUSTRALIAN HEALTH & NUTRITION ASSOCIATION LIMITED (63 096 452 872)'],350-400M,"['Food and beverages, agriculture and fishing']",['Australia']
325,https://modernslaveryregister.gov.au/statements/325/,2020-11-26 17:54:06,['NEXT ATHLEISURE PTY. LIMITED (47 083 404 424)'],100-150M,"['Fashion, textiles, apparel and luxury goods']",['Australia']
332,https://modernslaveryregister.gov.au/statements/332/,2020-11-26 17:40:17,['NOVA AEROSPACE PROPRIETARY LIMITED (11 090 818 214)'],200-250M,"['Professional and administrative services and supplies, including legal, consulting and accounting services\nDefence and aerospace']",['Australia']
333,https://modernslaveryregister.gov.au/statements/333/,2020-11-26 17:54:17,"['ALS INDUSTRIAL AUSTRALIA PTY LTD (50 126 728 103), ALS LIMITED (92 009 657 489), AUSTRALIAN LABORATORY SERVICES PTY. LTD. (84 009 936 029)']",1BN+,['Other'],['Australia']
334,https://modernslaveryregister.gov.au/statements/334/,2020-12-22 16:27:12,['LOWES - MANHATTAN PTY LTD (31 000 307 666)'],Unknown,"['Fashion, textiles, apparel and luxury goods']",['Australia']
341,https://modernslaveryregister.gov.au/statements/341/,2021-02-25 14:04:19,['CENTURY YUASA BATTERIES PTY. LIMITED (66 009 685 232)'],250-300M,"['Automotive, machinery and heavy electrical equipment']",['Australia']
342,https://modernslaveryregister.gov.au/statements/342/,2020-11-26 17:48:49,['THE INFORMATION MANAGEMENT GROUP PTY LTD (52 079 782 666)'],100-150M,"['Waste management and recycling\nTransportation, logistics, and storage']",['Australia']
343,https://modernslaveryregister.gov.au/statements/343/,2020-11-26 17:54:28,['MFS Logistics Pty Limited (31 125 320 658)'],Unknown,"['Transportation, logistics, and storage']",['New Zealand']
344,https://modernslaveryregister.gov.au/statements/344/,2020-11-26 17:54:40,['ALLIED PINNACLE PTY LIMITED (85 161 203 005)'],800-900M,"['Food and beverages, agriculture and fishing']",['Australia']
345,https://modernslaveryregister.gov.au/statements/345/,2020-11-26 17:55:00,['WESTERN HEALTH (61 166 735 672)'],900M-1BN,['Healthcare and pharmaceuticals'],['Australia']
348,https://modernslaveryregister.gov.au/statements/348/,2020-11-26 17:55:20,"['ABT ASSOCIATES AUSTRALIA PTY LTD (72 161 695 156), ABT ASSOCIATES PTY LTD (76 091 591 294), ABT GROUP AUSTRALIA PTY LTD (59 120 662 026), ABT HOLDINGS AUSTRALIA PTY LTD (48 129 332 681)']",100-150M,"['Professional and administrative services and supplies, including legal, consulting and accounting services']",['Australia']
350,https://modernslaveryregister.gov.au/statements/350/,2020-11-26 17:55:41,['LOYALTY PACIFIC PTY LTD (82 057 931 334)'],250-300M,['Other'],['Australia']
357,https://modernslaveryregister.gov.au/statements/357/,2020-11-26 17:40:36,['SANDVIK MINING AND CONSTRUCTION AUSTRALIA PTY LTD (62 003 771 382)'],Unknown,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
358,https://modernslaveryregister.gov.au/statements/358/,2020-11-26 17:40:58,['CAPRICORN SOCIETY LIMITED (29 008 347 313)'],Unknown,"['Financial, insurance and real estate activities']",['Australia']
360,https://modernslaveryregister.gov.au/statements/360/,2020-11-26 17:49:37,['TREASURY WINE ESTATES LIMITED (24 004 373 862)'],1BN+,"['Food and beverages, agriculture and fishing']",['Australia']
363,https://modernslaveryregister.gov.au/statements/363/,2020-11-26 17:44:15,['NATIONAL PUMP & ENERGY PTY LTD (83 098 812 492)'],100-150M,"['Mining, metals, chemicals and resources (including oil and gas)\nConstruction, civil engineering and building products\nOther']",['Australia']
