Title,Worldwide_Gross,Release_Date,MPAA_Rating,Major_Genre,Rotten_Tomatoes_Rating,IMDB_Rating
All About the Benjamins,25873145,Mar 08 2002,R,Comedy,29,5.3
Sweet Home Alabama,163379330,Sep 27 2002,PG-13,Comedy,37,5.8
Fat Albert,48563556,Dec 25 2004,PG,Comedy,21,4
Ali,84383966,Dec 25 2001,R,Drama,67,6.6
Alien: Resurrection,160700000,Nov 26 1997,R,Action,,6.2
Almost Famous,47371191,Sep 15 2000,R,Comedy,88,8
Evan Almighty,173219280,Jun 22 2007,PG,Comedy,23,5.5
Bruce Almighty,485004995,May 23 2003,PG-13,Comedy,48,6.6
Alone in the Dark,8178569,Jan 28 2005,R,Horror,1,2.3
Along Came a Spider,105159085,Apr 06 2001,R,Thriller/Suspense,32,6.1
Alvin and the Chipmunks,360578644,Dec 14 2007,PG,Comedy,27,5.5
Alexander,167297191,Nov 24 2004,R,Adventure,16,5.4
American Beauty,356258047,Sep 15 1999,R,Drama,89,8.6
An American Carol,7013191,Oct 03 2008,PG-13,Comedy,12,4.5
Le Fabuleux destin d'AmÈlie Poulain,174201661,Nov 02 2001,R,Comedy,,8.5
American Gangster,265697825,Nov 02 2007,R,Drama,79,7.9
Amistad,44212592,Dec 12 1997,R,Drama,77,7.1
American Pie 2,286500000,Aug 10 2001,R,Comedy,52,6.2
American Wedding,126425115,Aug 01 2003,R,Comedy,56,6.1
American Pie,234800000,Jul 09 1999,R,Comedy,59,6.9
America's Sweethearts,157627733,Jul 20 2001,PG-13,Romantic Comedy,32,5.7
The Amityville Horror,108047131,Apr 15 2005,R,Horror,24,5.8
Anacondas: The Hunt for the Blood Orchid,70326393,Aug 27 2004,PG-13,Horror,,4.3
Anaconda,136998907,Apr 11 1997,PG-13,Horror,38,4.2
Anastasia,139801410,Nov 14 1997,G,Musical,85,6.6
Anchorman: The Legend of Ron Burgundy,89366354,Jul 09 2004,PG-13,Comedy,,7
Angel Eyes,24044532,May 18 2001,R,Drama,32,5.5
Anger Management,195660942,Apr 11 2003,PG-13,Comedy,43,6.1
A Night at the Roxbury,30331165,Oct 02 1998,PG-13,Comedy,11,5.7
The Animal,55762229,Jun 01 2001,PG-13,Comedy,30,4.6
Anna and the King,39251128,Dec 17 1999,PG-13,Drama,51,6.5
Analyze That,54994757,Dec 06 2002,R,Comedy,27,5.6
Analyze This,176885658,Mar 05 1999,R,Comedy,68,6.6
Antz,152457863,Oct 02 1998,PG,Adventure,95,6.8
Anywhere But Here,18653615,Nov 12 1999,PG-13,Drama,64,5.9
Apocalypto,117785051,Dec 08 2006,R,Adventure,64,7.9
The Apostle,21277770,Dec 17 1997,PG-13,Drama,91,7.1
Are We There Yet?,97918663,Jan 21 2005,PG,Romantic Comedy,12,4.2
Arlington Road,24419219,Jul 09 1999,R,Thriller/Suspense,60,7.2
Armageddon,554600000,Jul 01 1998,PG-13,Adventure,42,6.1
King Arthur,203877963,Jul 07 2004,PG-13,Adventure,31,6.2
Arthur et les Minimoys,110102340,Dec 15 2006,PG,Adventure,,5.9
Artificial Intelligence: AI,235900000,Jun 29 2001,PG-13,Drama,,6.9
The Art of War,30199105,Aug 25 2000,R,Thriller/Suspense,16,5.5
Astro Boy,44093014,Oct 23 2009,PG,Adventure,,6.4
The Astronaut Farmer,11003643,Feb 23 2007,PG,Drama,,6.4
As Good as it Gets,314111923,Dec 24 1997,PG-13,Romantic Comedy,85,7.8
A Simple Plan,16316273,Dec 11 1998,R,Drama,90,7.6
The A-Team,176047914,Jun 11 2010,PG-13,Action,47,7.2
At First Sight,22365133,Jan 15 1999,PG-13,Drama,33,5.6
Atlantis: The Lost Empire,186049020,Jun 08 2001,PG,Adventure,,6.4
Hearts in Atlantis,30885781,Sep 28 2001,PG-13,Drama,49,6.8
Autumn in New York,90717684,Aug 11 2000,PG-13,Drama,21,4.8
Atonement,129425746,Dec 07 2007,R,Drama,83,7.9
August Rush,65627510,Nov 17 2007,PG,Drama,37,7.5
Across the Universe,29367143,Sep 14 2007,PG-13,Musical,53,7.5
Austin Powers: The Spy Who Shagged Me,309600000,Jun 10 1999,PG-13,Comedy,,6.6
Austin Powers in Goldmember,292738626,Jul 25 2002,PG-13,Comedy,54,6.2
Austin Powers: International Man of Mystery,67683989,May 02 1997,PG-13,Comedy,,7.1
The Avengers,48585416,Aug 14 1998,PG-13,Action,15,3.4
The Aviator,214608827,Dec 17 2004,PG-13,Drama,88,7.6
AVP: Alien Vs. Predator,172543519,Aug 13 2004,PG-13,Horror,,5.4
Around the World in 80 Days,72004159,Jun 16 2004,PG,Adventure,30,5.6
Away We Go,10108016,Jun 05 2009,R,Comedy,66,7.3
Don't Say a Word,104488383,Sep 28 2001,R,Thriller/Suspense,23,6.1
Babe: Pig in the City,69131860,Nov 25 1998,G,Adventure,61,6.1
Babylon A.D.,70216497,Aug 29 2008,PG-13,Action,7,5.3
Baby Geniuses,27151490,Mar 12 1999,PG,Comedy,2,2.2
Bad Boys II,272940870,Jul 18 2003,R,Action,24,6.2
Bad Company,69157016,Jun 07 2002,PG-13,Action,10,5.3
Boys and Girls,21799652,Jun 16 2000,PG-13,Romantic Comedy,11,4.9
Bangkok Dangerous,46598133,Sep 05 2008,R,Action,9,5.4
The Banger Sisters,38067218,Sep 20 2002,R,Comedy,47,5.5
Basic,42598498,Mar 28 2003,R,Thriller/Suspense,21,6.3
Batman Begins,372353017,Jun 15 2005,PG-13,Action,84,8.3
Battlefield Earth: A Saga of the Year 3000,29725663,May 12 2000,PG-13,Action,,2.3
The Dark Knight,1022345358,Jul 18 2008,PG-13,Action,93,8.9
Baby Boy,28734552,Jun 27 2001,R,Drama,69,6.1
The Curious Case of Benjamin Button,329809326,Dec 25 2008,PG-13,Drama,72,8
Baby Mama,64391484,Apr 25 2008,PG-13,Comedy,63,6.1
Bless the Child,40435694,Aug 11 2000,R,Thriller/Suspense,3,4.8
The Bachelor,36882378,Nov 05 1999,PG-13,Romantic Comedy,9,4.8
Be Cool,94849401,Mar 04 2005,PG-13,Comedy,30,5.6
Big Daddy,234779795,Jun 25 1999,PG-13,Comedy,40,4.7
Bedazzled,90376224,Oct 20 2000,PG-13,Comedy,49,5.9
Body of Lies,108394666,Oct 10 2008,R,Thriller/Suspense,52,7.2
Blood Diamond,171377916,Dec 08 2006,R,Action,62,8
Mr. Bean's Holiday,229736344,Aug 24 2007,G,Comedy,50,6
Beavis and Butt-head Do America,63118386,Dec 20 1996,PG-13,Comedy,71,6.6
Bend it Like Beckham,76583333,Mar 12 2003,PG-13,Drama,,6.9
In the Bedroom,43430604,Nov 23 2001,R,Drama,93,7.5
Bee Movie,287594577,Nov 02 2007,PG,Comedy,51,6.3
Being John Malkovich,32382381,Oct 29 1999,R,Black Comedy,92,7.9
Behind Enemy Lines,58855732,Nov 30 2001,PG-13,Action,36,6.1
Beloved,22852487,Oct 16 1998,R,Drama,77,5.3
Beowulf,194995215,Nov 16 2007,PG-13,Adventure,70,6.6
Big Fat Liar,52375275,Feb 08 2002,PG,Comedy,43,5.2
Big Fish,123432867,Dec 10 2003,PG-13,Drama,77,8.1
The Big Hit,27066941,Apr 24 1998,R,Action,41,5.8
The Big Lebowski,46189568,Mar 06 1998,R,Comedy,78,8.2
Big Momma's House,173559438,Jun 02 2000,PG-13,Comedy,30,4.7
Black Hawk Down,173638745,Dec 28 2001,R,Action,76,7.7
Billy Elliot,109280263,Oct 13 2000,PG-13,Drama,85,7.7
Bicentennial Man,87420776,Dec 17 1999,PG,Drama,38,6.4
Becoming Jane,37304637,Aug 03 2007,PG,Romantic Comedy,58,7
Bridget Jones: The Edge Of Reason,263894551,Nov 12 2004,R,Romantic Comedy,,5.6
Bridget Jones's Diary,281527158,Apr 13 2001,R,Romantic Comedy,80,6.8
Blade,131237688,Aug 21 1998,R,Action,55,7
The Blair Witch Project,248300000,Jul 14 1999,R,Horror,85,6.2
Blast from the Past,26613620,Feb 12 1999,PG-13,Comedy,60,6.4
Blade 2,154338601,Mar 22 2002,R,Action,,5.5
Blade: Trinity,132397389,Dec 08 2004,R,Action,,5.7
Blades of Glory,145594548,Mar 30 2007,PG-13,Comedy,69,6.5
Blood Work,26199517,Aug 09 2002,R,Thriller/Suspense,54,6.3
Black Christmas,16235738,Dec 25 2006,R,Horror,15,4.3
Black Snake Moan,9396870,Mar 02 2007,R,Drama,66,7.1
"Legally Blonde 2: Red, White & Blonde",125339088,Jul 02 2003,PG,Comedy,,
Legally Blonde,141743426,Jul 13 2001,PG-13,Comedy,67,6.2
Blow,83282296,Apr 06 2001,R,Drama,54,7.4
Blue Crush,51327420,Aug 16 2002,PG-13,Drama,62,5.5
A Beautiful Mind,316708996,Dec 21 2001,PG-13,Drama,78,8
Bandits,71523271,Oct 12 2001,PG-13,Comedy,63,6.5
Bobby,20597806,Nov 17 2006,R,Drama,46,7.1
The Bone Collector,151463090,Nov 05 1999,R,Thriller/Suspense,27,6.3
Boogie Nights,43111725,Oct 10 1997,R,Drama,92,7.9
Borat,261572744,Nov 03 2006,R,Comedy,,7.7
The Bourne Identity,213300000,Jun 14 2002,PG-13,Action,82,7.7
The Bourne Supremacy,288587450,Jul 23 2004,PG-13,Action,81,7.6
The Bourne Ultimatum,442161562,Aug 03 2007,PG-13,Action,93,8.2
The Borrowers,54045832,Feb 13 1998,PG,Comedy,,5.6
Bounce,53399300,Nov 17 2000,PG-13,Drama,51,5.5
The Boy in the Striped Pyjamas,39830581,Nov 07 2008,PG-13,Drama,,7.8
Heartbreakers,57753825,Mar 23 2001,PG-13,Comedy,52,6.2
Bringing Out The Dead,16640210,Oct 22 1999,R,Black Comedy,71,6.8
Breakdown,50159144,May 02 1997,R,Thriller/Suspense,79,
Brokeback Mountain,180343761,Dec 09 2005,R,Drama,87,7.8
Brooklyn Rules,458232,May 18 2007,R,Drama,,6.4
The Brothers,27958191,Mar 23 2001,R,Comedy,63,2.8
Brown Sugar,28315272,Oct 11 2002,PG-13,Romantic Comedy,64,6
Barbershop 2: Back in Business,65842412,Feb 06 2004,PG-13,Comedy,,5.5
Barbershop,77081642,Sep 13 2002,PG-13,Comedy,82,6.2
Best in Show,20695413,Sep 27 2000,PG-13,Comedy,94,7.4
Bad Santa,60063017,Nov 26 2003,R,Comedy,77,7.3
Inglourious Basterds,320389438,Aug 21 2009,R,Action,88,8.4
Blue Streak,117448157,Sep 17 1999,PG-13,Action,35,5.9
The Butterfly Effect,96046844,Jan 23 2004,R,Thriller/Suspense,33,7.8
"O Brother, Where Art Thou",65976782,Dec 22 2000,PG-13,Comedy,,
Batman & Robin,238317814,Jun 20 1997,PG-13,Action,11,3.5
Bulworth,29203383,May 15 1998,R,Comedy,75,6.8
W.,28575778,Oct 17 2008,PG-13,Drama,60,
Bowfinger,98699769,Aug 13 1999,PG-13,Comedy,79,6.4
Bewitched,131413159,Jun 24 2005,PG-13,Comedy,24,4.8
Barnyard: The Original Party Animals,116618084,Aug 04 2006,PG,Comedy,23,
Cadillac Records,8138000,Dec 05 2008,R,Drama,67,6.7
Can't Hardly Wait,25358996,Jun 12 1998,PG-13,Comedy,44,6.2
The Rage: Carrie 2,17760244,Mar 12 1999,R,Horror,16,4.3
Cast Away,427230516,Dec 22 2000,PG-13,Drama,89,7.5
Catch Me if You Can,351106800,Dec 25 2002,PG-13,Drama,96,5.7
The Cat in the Hat,133818283,Nov 21 2003,PG,Comedy,,3.4
Catwoman,82102379,Jul 23 2004,PG-13,Action,10,3.2
The Corpse Bride,117359111,Sep 16 2005,PG,Adventure,,
Collateral Damage,78353508,Feb 08 2002,R,Action,,5.2
Crocodile Dundee in Los Angeles,39393111,Apr 20 2001,PG,Adventure,12,4.6
The Cell,61280963,Aug 18 2000,R,Thriller/Suspense,46,6.2
Cellular,45261739,Sep 10 2004,PG-13,Thriller/Suspense,54,6.5
City of Ember,11817059,Oct 10 2008,PG,Adventure,53,6.4
Charlie and the Chocolate Factory,474459076,Jul 15 2005,PG,Comedy,82,7.1
Catch a Fire,5699773,Oct 27 2006,PG-13,Thriller/Suspense,76,6.8
Charlie's Angels: Full Throttle,227200000,Jun 27 2003,PG-13,Action,,4.7
Charlie's Angels,263200000,Nov 03 2000,PG-13,Adventure,67,5.5
Chicago,307687518,Dec 27 2002,PG-13,Musical,88,7.2
Chicken Little,314432738,Nov 04 2005,G,Adventure,36,5.8
Chicken Run,227793915,Jun 21 2000,G,Adventure,96,7.3
Cheaper by the Dozen,189714544,Dec 25 2003,PG,Comedy,24,5.6
Cheaper by the Dozen 2,135015330,Dec 21 2005,PG,Comedy,7,5.2
Bride of Chucky,50692188,Oct 16 1998,R,Horror,43,5.3
Children of Men,69450202,Dec 25 2006,R,Thriller/Suspense,93,8.1
Love in the Time of Cholera,31077418,Nov 16 2007,R,Drama,27,6.2
Chocolat,152500343,Dec 15 2000,PG-13,Drama,62,7.3
Charlotte's Web,143985708,Dec 15 2006,G,Drama,78,6.7
Cinderella Man,108539911,Jun 03 2005,PG-13,Drama,80,8
A Cinderella Story,70067909,Jul 16 2004,PG,Romantic Comedy,10,5.4
City of Angels,198750909,Apr 10 1998,PG-13,Drama,59,6.4
A Civil Action,56709981,Dec 25 1998,PG-13,Drama,61,6.4
The Santa Clause 2,172825854,Nov 01 2002,G,Comedy,,5.5
Cold Mountain,161632614,Dec 25 2003,R,Drama,70,7.3
Code Name: The Cleaner,8135024,Jan 05 2007,PG-13,Comedy,4,4
Closer,115987757,Dec 03 2004,R,Drama,68,2.9
Maid in Manhattan,154832896,Dec 13 2002,PG-13,Romantic Comedy,39,4.6
Constantine,230884728,Feb 18 2005,R,Action,46,6.7
Coach Carter,76669806,Jan 14 2005,PG-13,Drama,65,7.1
Agent Cody Banks 2: Destination London,28703083,Mar 12 2004,PG,Comedy,,4.1
Agent Cody Banks,58240458,Mar 14 2003,PG,Comedy,38,5.1
Collateral,217670152,Aug 06 2004,R,Action,86,7.8
College,5629618,Aug 29 2008,R,Comedy,5,4.3
Con Air,224117573,Jun 06 1997,R,Action,57,6.6
Conspiracy Theory,137118990,Aug 08 1997,R,Thriller/Suspense,51,6.5
Contact,165900000,Jul 11 1997,PG,Drama,67,7.3
Copying Beethoven,355968,Nov 10 2006,PG-13,Drama,,6.8
Corky Romano,23978402,Oct 12 2001,PG-13,Comedy,5,4.2
Coraline,124062750,Feb 06 2009,PG,Adventure,89,7.8
Confessions of a Teenage Drama Queen,33051296,Feb 20 2004,PG,Comedy,13,4.3
The Covenant,38164784,Sep 08 2006,PG-13,Thriller/Suspense,3,4.8
Cop Land,63706632,Aug 15 1997,R,Drama,71,6.9
Couples Retreat,172450423,Oct 09 2009,PG-13,Comedy,12,5.5
Crank,33824696,Sep 01 2006,R,Action,61,7.1
Cradle 2 the Grave,56434942,Feb 28 2003,R,Horror,26,5.4
Crocodile Hunter: Collision Course,33436931,Jul 12 2002,PG,Comedy,,
The Corruptor,15164492,Mar 12 1999,R,Action,48,5.8
Man cheng jin dai huang jin jia,75566773,Dec 21 2006,R,Action,,7
Crash,98387109,May 06 2005,R,Drama,75,6.1
Crossroads,57000000,Feb 15 2002,PG-13,Drama,14,6.6
The Count of Monte Cristo,54228104,Jan 25 2002,PG-13,Drama,74,7.6
Cruel Intentions,75803716,Mar 05 1999,R,Drama,47,6.7
Clockstoppers,38788828,Mar 29 2002,PG,Adventure,28,5
Cats & Dogs,200700000,Jul 04 2001,PG,Comedy,53,5.2
The City of Your Final Destination,493296,Apr 16 2010,PG-13,Drama,40,6.6
Coyote Ugly,115786269,Aug 04 2000,PG-13,Drama,21,5.3
Cloudy with a Chance of Meatballs,139525862,Sep 18 2009,PG,Comedy,86,7.2
Daddy Day Camp,18197398,Aug 08 2007,PG,Comedy,1,2.4
Daddy Day Care,164285587,May 09 2003,PG,Comedy,28,5.5
The Black Dahlia,46672813,Sep 15 2006,R,Thriller/Suspense,33,5.6
Diary of a Mad Black Woman,50425450,Feb 25 2005,PG-13,Drama,16,4.9
Dance Flick,32092761,May 22 2009,PG-13,Comedy,17,3.4
Daredevil,179179718,Feb 14 2003,PG-13,Action,44,5.5
Dawn of the Dead,102290765,Mar 19 2004,R,Horror,76,7.4
The Great Debaters,30226144,Dec 25 2007,PG-13,Drama,79,7.6
Double Jeopardy,177835231,Sep 24 1999,R,Action,25,6
Deep Blue Sea,165048228,Jul 28 1999,R,Action,57,5.6
Drive Me Crazy,22591451,Oct 01 1999,PG-13,Comedy,26,5.1
Mr. Deeds,171269535,Jun 28 2002,PG-13,Comedy,22,5.5
DÈj‡ Vu,181038616,Nov 22 2006,PG-13,Thriller/Suspense,,7
Delgo,915840,Dec 12 2008,PG,Adventure,12,4.4
Despicable Me,333572855,Jul 09 2010,PG,Comedy,80,7.7
Deuce Bigalow: Male Gigolo,92935067,Dec 10 1999,R,Comedy,23,5.6
Darkness Falls,32539681,Jan 24 2003,PG-13,Horror,8,4.6
Dragonfly,30063805,Feb 22 2002,PG-13,Drama,7,5.8
Live Free or Die Hard,383531464,Jun 27 2007,PG-13,Action,82,7.5
Banlieue 13,11208291,Jun 02 2006,R,Action,,7.1
Disaster Movie,34690901,Aug 29 2008,PG-13,Comedy,2,1.7000000000000002
District 9,206552113,Aug 14 2009,R,Thriller/Suspense,91,8.3
Disturbing Behavior,17507368,Jul 24 1998,R,Thriller/Suspense,30,5.2
Dead Man on Campus,15064948,Aug 21 1998,R,Black Comedy,15,5.6
Dinosaur,356148063,May 19 2000,PG,Adventure,65,6.2
Dogma,43948865,Nov 12 1999,R,Comedy,68,7.3
Domestic Disturbance,45207112,Nov 02 2001,PG-13,Thriller/Suspense,24,5.3
Domino,17759202,Oct 14 2005,R,Action,19,5.9
Donnie Brasco,55954997,Feb 28 1997,R,Drama,87,7.7
Doug's 1st Movie,19421271,Mar 26 1999,G,Adventure,,4.8
Deep Impact,349464664,May 08 1998,PG-13,Adventure,47,6
The Departed,290539042,Oct 06 2006,R,Drama,93,8.5
Dracula 2000,33000377,Dec 22 2000,R,Horror,15,4.8
Death Race,72516819,Aug 22 2008,R,Action,41,6.6
Drag Me To Hell,85724728,May 29 2009,PG-13,Horror,92,7.1
"Crouching Tiger, Hidden Dragon",213200000,Dec 08 2000,PG-13,Drama,,
Doctor Dolittle 2,176101721,Jun 22 2001,PG,Comedy,,6
Doctor Dolittle,294156605,Jun 26 1998,PG-13,Comedy,,5.2
Driven,54616869,Apr 27 2001,PG-13,Action,13,4.2
Dreamcatcher,75685268,Mar 21 2003,R,Drama,30,5.3
Dreamgirls,154965956,Dec 15 2006,PG-13,Musical,78,6.6
Drumline,56398162,Dec 13 2002,PG-13,Comedy,81,5.2
The Descent,57029609,Aug 04 2006,R,Thriller/Suspense,,7.4
The Master of Disguise,40363530,Aug 02 2002,PG,Comedy,2,3
Disturbia,117573043,Apr 13 2007,PG-13,Thriller/Suspense,68,7
Double Take,29823162,Jan 12 2001,PG-13,Action,12,6.8
Death at a Funeral,34743644,Aug 17 2007,R,Comedy,61,5.1
The Dukes of Hazzard,110570227,Aug 05 2005,PG-13,Comedy,13,4.7
Dumb and Dumberer: When Harry Met Lloyd,26214846,Jun 13 2003,PG-13,Comedy,10,3.3
Devil's Advocate,153007424,Oct 17 1997,R,Drama,,
D-War,79915361,Sep 14 2007,PG-13,Action,,3.8
Down to Earth,71172251,Feb 16 2001,PG-13,Comedy,19,5
Down to You,20035310,Jan 21 2000,PG-13,Romantic Comedy,3,4.4
EDtv,35319689,Mar 26 1999,PG-13,Comedy,62,6
Eagle Eye,178066569,Sep 26 2008,PG-13,Thriller/Suspense,27,6.6
8MM,96398826,Feb 26 1999,R,Thriller/Suspense,22,6.3
Election,14943582,Apr 23 1999,R,Black Comedy,92,7.4
Elf,220443451,Nov 07 2003,PG,Comedy,84,6.8
Elizabeth,82150642,Nov 06 1998,R,Drama,81,7.6
Ella Enchanted,22913677,Apr 09 2004,PG,Comedy,49,6.3
Once Upon a Time in Mexico,98156459,Sep 12 2003,R,Action,68,6.2
La marche de l'empereur,129437223,Jun 24 2005,G,Documentary,,7.8
Employee of the Month,38117718,Oct 06 2006,PG-13,Comedy,20,5.4
The Emperor's New Groove,169296573,Dec 15 2000,G,Adventure,85,7.4
Enchanted,340384141,Nov 21 2007,PG,Romantic Comedy,92,7.5
End of Days,212026975,Nov 24 1999,R,Action,11,5.4
Enemy at the Gates,96971293,Mar 16 2001,R,Drama,53,7.4
Enemy of the State,250649836,Nov 20 1998,R,Action,70,7.2
